      astropy   4700   8955  16153  22606  24453  24453  24453  24453
    biopython   1290   2145   3020   4524   6163   8176   8923  12248
     buildbot   2978   5781   8614  11108  13885  16182  16729  17414
      calibre   2651   5473   9247  14502  22794  32118  34175  36453
     cherrypy    674   1166   1488   1830   2001   2195   2413  4220
       cinder    362    788   1115   1436   1478   1478   1478  1478
       django   2913   6822  13355  19376  22914  27334  28893  38229
      emesene      0      0      1    104   2562   4155   4241  4286
   EventGhost    248    855    855    855    870   1084   1552  1721
       exaile    635   1088   1746   1857   2447   4803   5227  7504
   globaleaks   2428   5201   7621  11348  11528  11528  11528  11528
       gramps   1105   3047   5583   9373  12822  16632  17948  35284
          gtg      0      4    148    704   1670   4357   5001  5174
         heat   2006   5803  10954  14849  15863  15863  15863  15863
      ipython   1200   2579   8404  15734  20888  22230  22442  24235
         kivy    882   2428   5281   8441  10749  11327  11327  11327
       magnum    869   3015   4522   4522   4522   4522   4522  4522
      mailman      0      0      0      0    352    642    750  7503
       manila   1154   2794   4417   4624   4624   4624   4624  4624
   matplotlib   5183   9891  13775  16672  18973  20420  21070  25493
         miro      0      0      3    278   3931   7110   8238  15060
     networkx    409   1164   2601   3236   3920   4673   4803  5535
      neutron   4262  11029  18714  22877  24221  24241  24241  24241
         nova    353   1026   1710   2497   3195   3214   3214  3214
        numpy   2743   5036   7158  10097  11960  13989  14896  20326
      pathomx      0      0    446    718    718    718    718  718
       Pillow   2033   3815   6153   7580   7646   7695   7695  7695
          pip    910   1677   3164   4368   5021   5683   5825  5849
      portage    595   1253   1950   3319   6474  11417  12949  24376
       pygame     30    357    546    943   1615   2339   3347  6552
       pyobjc    255    473    682   1313   1569   2179   2643  5841
      pyramid    890   3329   4726   6478   9179  11696  12280  12648
        Pyro4    220    442    695    899   1196   1417   1417  1417
   python-api    794   1789   3172   3208   3208   3208   3208  3208
    quodlibet   1013   2454   3759   4941   5589   6042   6073  10244
      sabnzbd   1126   2191   2759   3133   4216   5365   6034  7131
         sage  10203  23665  41068  46436  49195  52950  54841  67544
 scikit-image    848   2240   4517   7703   9531   9996   9996  9996
 scikit-learn   1411   3899   7822  13614  21239  24219  24219  24219
        sympy   5070   8743  13239  20438  27591  29665  30000  31945
          tg2     80    188    329    573    867   1088   1432  1977
      tornado    450    828   1677   2497   3336   3760   3760  3760
         trac   1104   1981   3633   4781   5506   7522   8083  13411
       tryton    489   1070   1778   2494   3514   4097   4452  5567
      twisted   3047   8854  11930  17050  18140  18974  19255  34606
        veusz    246    413    731   1188   1787   2247   2393  3214
    VisTrails    203    980   3083   5406   6663   7224   7385  8629
   vpython-wx      0     12    130    464    464    464    464  464
       web2py    413   1243   2394   5067   7518   7518   7518  7518
     wxPython      5     21    427   2739   6319  10612  13988  68424
         Zope    443    732    861   1038   1500   3076   3594  15708
