#Application,URL,SHA
biopython,https://github.com/biopython/biopython,197390e0addf289e2df318e0b6bd8e4c0fc233b2
buildbot,https://github.com/buildbot/buildbot,67ec0ecc3d9194605feb0921a3d906805d590453
calibre,https://github.com/kovidgoyal/calibre,7bca2bc90c31c9034b5fbeb60bb96dd04548f8f5
cherrypy,https://github.com/cherrypy/cherrypy,a433ee1b67032c1dbeeaf345cb5fe81f7f870f25
django,https://github.com/django/django,70c8cd41009b5776caf6091e5a0b8a989204d069
emesene,https://github.com/emesene/emesene,48bf386be31cbb4efa8fcc5f80f4630eb3dbf86d
EventGhost,https://github.com/EventGhost/EventGhost,7ff1c31397cc49b4b949e7d5667105fa6f87e783
exaile,https://github.com/exaile/exaile,67d83bc6e125956ab28799eefd3647e76832aab3
gramps,https://github.com/gramps-project/gramps,7f1ff548fc4d4c028bf2500cb43c53e693cd40f5
gtg,https://github.com/getting-things-gnome/gtg,23e99cc6cedea6fe4cd41dbb79e6611ae9bb4f82
ipython,https://github.com/ipython/ipython,8bac8cb891924e18ce44dbbe749a00f9aa375ea4
kivy,https://github.com/kivy/kivy,a8e2c653073c637ac01e19e1549a6f8c7e74b241
mailman,https://github.com/terencehonles/mailman,d0f8e9e03d3c55641165b73a4d8971ec514a9cdc
matplotlib,https://github.com/matplotlib/matplotlib,4efc9f9ea7415b70f36b129d4c4cc62d7b33b3ca
miro,https://github.com/pculture/miro,0cffb97dc76e7a83d1fa8cb0d510b32198155c13
networkx,https://github.com/networkx/networkx,204ad648adcfb08ed689e84b1971e325ce72c46c
numpy,https://github.com/numpy/numpy,945126079dd1e48c96629799108a3dec91809085
Pillow,https://github.com/python-pillow/Pillow,60f7ed31a0fcba85b02ee5d50316522874bb400d
pip,https://github.com/pypa/pip,8f103e0ddb82fd5da667490f9ee85a05184462ac
portage,https://github.com/gentoo/portage,d987c6bb00c7320e6227bc89f8bc4e157c3ce940
pygame,https://github.com/pygame/pygamefullmirror,b037c7ffe09a1eb05959514d40de57dc3246be9a
pyobjc,https://github.com/GreatFruitOmsk/pyobjc,9096c3def20151f96a8f211fb3471bfc0d450f06
pyramid,https://github.com/Pylons/pyramid,55e24a72a390be068745de2be77fd4c4cdf89966
Pyro4,https://github.com/irmen/Pyro4,612811cf6dc2fb6a6065339801c81e2a742aef87
quodlibet,https://github.com/quod-libet/quodlibet,3df88264504c665baa5231c1d2c08f67647a8381
sabnzbd,https://github.com/sabnzbd/sabnzbd,cef205b76922dd717db699a85c3283b0fcc4749a
sage,https://github.com/sagemath/sage,95959ace13f71032004d41c3907b1f3d76480eea
scikit-image,https://github.com/scikit-image/scikit-image,dc79f81824884dfe69dfb4fb628a69c1079affa7
scikit-learn,https://github.com/scikit-learn/scikit-learn,3c86f5fbf237ccf81209aa67c2f5bd2a5c3b16dd
sympy,https://github.com/sympy/sympy,6e21aaee00468807ea06a6fe80853075313e9ddf
tg2,https://github.com/TurboGears/tg2,f6a1543cb963e5eacc8613192165f44eccbc1f2f
tornado,https://github.com/tornadoweb/tornado,f63525f7a44d7b5d12c327d1173f2c2680d56757
trac,https://github.com/edgewall/trac,27144964af505073be9811ac9789bc38f611aeb2
tryton,https://github.com/tryton/tryton,92b70e557ebfb818f78bec6195a0eb81e454678c
twisted,https://github.com/twisted/twisted,e8a8f14cab6cb038df50d9587c6f2b9e77cf29c3
veusz,https://github.com/jeremysanders/veusz,4f6eb562c7ba4f69eeef73520ea5649a685cf606
VisTrails,https://github.com/VisTrails/VisTrails,5807414236ba8e79114ae4082d75eb5708064696
wxPython,https://github.com/wxWidgets/wxPython,f492ac258631433be2f37582a71ff0523d28912a
Zope,https://github.com/zopefoundation/Zope,7295fcdbb21a4e6cccb378d67190c238ba5e347c
