#Application,URL,SHA
astropy,https://github.com/astropy/astropy,65ec9ac9aa7ef81b214743ff84b6a462c3d8ba5a
biopython,https://github.com/biopython/biopython,e1377a43aa7d06bb61f9f298e14d4912a50b9916
buildbot,https://github.com/buildbot/buildbot,f272e2dfbf277dfbc5abf2e317c8d53f1dfd0cb8
calibre,https://github.com/kovidgoyal/calibre,1b4f9f06b5ca4ac56a3b390aad58b265e6f23422
cherrypy,https://github.com/cherrypy/cherrypy,46c670e69b7c9620e11999f84b9bcdf57d806649
cinder,https://github.com/openstack/python-cinderclient,3b60eba9aa022a5f5a7b84ce236626f31493485b
django,https://github.com/django/django,6f913c03057acb00249f31e823f8ca2274fe74dc
emesene,https://github.com/emesene/emesene,4548a4098310e21b16437bb36223a7f632a4f7bc
EventGhost,https://github.com/EventGhost/EventGhost,8b938622de951a3dfed6fd9241602fc319972f40
exaile,https://github.com/exaile/exaile,779d17dbfdb4a1ac770d367121995a2514deeadd
globaleaks,https://github.com/globaleaks/globaleaks/,067d0a4dd9e3453d88dd40d6ab0f085d76695b45
gramps,https://github.com/gramps-project/gramps,46c6737d676e4b4e01966af1b44d60d3aef03812
gtg,https://github.com/getting-things-gnome/gtg,117bd7b4bdfcd4805bdc3222ee4b3fc2b10ee0ff
heat,https://github.com/openstack/heat,e4795a07bbf8fa32757dcc9d9c945599f3d69b06
ipython,https://github.com/ipython/ipython,74e83930dd84251f07b4d0877130d7eeafc445e7
kivy,https://github.com/kivy/kivy,3e1ea7392a2aae77d3ca9ec60787d118d3ba0164
magnum,https://github.com/openstack/magnum,dd2a8520cbe849a04a2dba922fc1965e8bcbd5aa
mailman,https://github.com/terencehonles/mailman,fe405ddae97cc792a343e3665b9ea645b9cf4539
manila,https://github.com/openstack/manila,00adc593fb33b0381eafddeb5768af6ed81fca93
matplotlib,https://github.com/matplotlib/matplotlib,343792f25d2439e5c3c310e46d938fdcdfc81e10
miro,https://github.com/pculture/miro,d8e4594441939514dd2ac29812bf37087bb3aea5
networkx,https://github.com/networkx/networkx,464bf8fc08ffa09cfd0183fb5cae1adfe6839e12
neutron,https://github.com/openstack/neutron,9b4e22bd64ebfc37b20006fea533006750f17a33
nova,https://github.com/openstack/python-novaclient,296b5da84b595fb9da9de831eaae154ce61fa1b3
numpy,https://github.com/numpy/numpy,3e297ba7e47c949469744ac67cf296b4315ceea9
pathomx,https://github.com/pathomx/pathomx,2c4f202cb887c2043a5781c4a466966624bb6486
Pillow,https://github.com/python-pillow/Pillow,8b649d6e7924c0d44797068c388f2f20d021925c
pip,https://github.com/pypa/pip,dd3defe509d6103605d8da8270a4787f0e8ec616
portage,https://github.com/gentoo/portage,a3300858d3ab3f427e1a1450641f440f97272f19
pygame,https://github.com/pygame/pygamefullmirror,2f6f15ef9604677efd75dc74aed2936d9ea87be0
pyobjc,https://github.com/GreatFruitOmsk/pyobjc,7c4feff4f6f21adc4127c77f9b03c3fa70cc4756
pyramid,https://github.com/Pylons/pyramid,2c8555edb17db28cea6310fdf7cfb15c68ef029e
Pyro4,https://github.com/irmen/Pyro4,539eab2fbfcb329809c8b13c2a94da52fd742ec0
python-api,https://github.com/plotly/python-api,4b45341a407d4535170eef01664db044afc48965
quodlibet,https://github.com/quod-libet/quodlibet,9ef3be2f91b8c0f92e15f4df930b6073c9b6af5f
sabnzbd,https://github.com/sabnzbd/sabnzbd,faa98126f8e294aee245dc2249227fdfa93c1c29
sage,https://github.com/sagemath/sage,14216c627068f62a703c3d1d1045bf76c22df94f
scikit-image,https://github.com/scikit-image/scikit-image,520e75219e11cbed29dd7c5e9610f1698f38dda6
scikit-learn,https://github.com/scikit-learn/scikit-learn,29597ca152ee3f9fb2d0c9a90ee636447b40e1ed
sympy,https://github.com/sympy/sympy,c9c6b85407a5d2b1bd5ee750e66b03c75ff35271
tg2,https://github.com/TurboGears/tg2,8cdb7859ca77af6fe2bcd786f49b63a637278a9b
tornado,https://github.com/tornadoweb/tornado,a0cce97f067fac9039c4396d2e1d6552402d8cf6
trac,https://github.com/edgewall/trac,ed37f9cab586f64807d78cdb7336f96ea625b7d6
tryton,https://github.com/tryton/tryton,7e8258cf2b57613ba0a4f9303581b84d3ba22e87
twisted,https://github.com/twisted/twisted,78ded00a3a0bb0ffef938c38e5cbbcc70f54d37d
veusz,https://github.com/jeremysanders/veusz,bf98cf27facf08ec6771d2c80f0f8210031de108
VisTrails,https://github.com/VisTrails/VisTrails,900a7b0d891879ef67e44eca33591db86d9501bf
vpython-wx,https://github.com/BruceSherwood/vpython-wx,9bd8fbb9c13e897530acb15dcba41b6e63c1859e
web2py,https://github.com/web2py/web2py/,16f60d5cfffd7782f149fefe9096e6b033287d2a
wxPython,https://github.com/wxWidgets/wxPython,f244d9d82efda37d53e795adda223d014a40a4dd
Zope,https://github.com/zopefoundation/Zope,2242b8201aaef38fce5ed1c1b8067463afe46c04
