#Application,3.0,3.1,3.2,3.3,3.4,3.5,Commits
astropy,100,100,100,90,57,22,17999
biopython,70,64,46,31,18,10,11244
buildbot,96,92,78,60,44,25,15341
calibre,93,87,60,36,21,10,34322
cherrypy,51,45,39,34,27,21,3404
cinder,100,100,100,97,69,42,1180
django,73,70,59,46,28,12,24088
emesene,99,97,60,2,0,0,4277
EventGhost,88,59,46,45,45,45,1572
exaile,67,61,27,18,16,7,6882
globaleaks,100,100,100,98,57,31,9182
gramps,43,40,29,20,13,7,25186
gtg,97,84,32,14,3,0,5174
heat,100,100,100,92,64,27,13333
ipython,92,91,85,63,32,7,22488
kivy,100,100,94,73,43,17,10485
magnum,100,100,100,100,100,61,3800
mailman,10,9,5,0,0,0,7503
manila,100,100,100,100,94,50,3604
matplotlib,79,76,69,59,45,27,21261
miro,55,47,26,2,0,0,13392
networkx,86,83,68,55,42,15,5091
neutron,100,100,100,93,72,34,17744
nova,100,100,99,75,48,24,2857
numpy,66,61,50,40,25,13,15691
pathomx,100,100,100,100,60,0,688
Pillow,100,100,99,98,73,33,5753
pip,100,97,83,70,46,16,4960
portage,58,53,31,16,8,5,14656
pygame,50,38,29,17,10,6,2764
pyobjc,49,42,33,25,6,0,3266
pyramid,96,91,66,41,25,17,10113
Pyro4,100,100,85,62,45,25,1231
python-api,100,100,100,100,98,43,2442
quodlibet,54,54,49,41,29,17,9040
sabnzbd,81,69,49,32,27,19,5699
sage,77,74,67,62,52,22,55584
scikit-image,100,100,95,76,42,18,9076
scikit-learn,100,100,87,53,27,11,21739
sympy,93,92,84,57,31,14,27078
tg2,70,52,42,27,14,6,1824
tornado,100,100,87,62,38,12,3325
trac,61,57,42,35,25,11,11433
tryton,74,66,53,29,13,6,4332
twisted,30,30,27,25,22,21,21736
veusz,71,65,51,29,12,4,2738
VisTrails,81,79,71,55,28,4,6669
vpython-wx,100,100,100,100,29,3,456
web2py,100,100,100,65,28,12,7108
wxPython,20,15,9,4,2,0,5366
Zope,18,16,6,4,2,2,14205
