#Version,Day,Month,Year
3.5.2,27,June,2016
3.5.1,07,December,2015
3.5.0,13,September,2015
3.4.5,26,June,2016
3.4.4,06,December,2015
3.4.3,25,February,2015
3.4.2,4,October,2014
3.4.1,18,May,2014
3.4.0,16,March,2014
3.3.6,11,October,2014
3.3.5,9,March,2014
3.3.4,9,February,2014
3.3.3,17,November,2013
3.3.2,15,May,2013
3.3.1,7,April,2013
3.3.0,29,September,2012
3.2.6,11,October,2014
3.2.5,15,May,2013
3.2.4,7,April,2013
3.2.3,10,April,2012
3.2.2,4,September,2011
3.2.1,10,July,2011
3.2,20,February,2011
3.1.5,9,April,2012
3.1.4,11,June,2011
3.1.3,27,November,2010
3.1.2,21,March,2010
3.1.1,17,August,2009
3.1,27,June,2009
3.0.1,13,February,2009
3.0,3,December,2008
2.7.12,26,June,2016
2.7.11,5,December,2015
2.7.10,23,May,2015
2.7.9,10,December,2014
2.7.8,1,July,2014
2.7.7,31,May,2014
2.7.6,10,November,2013
2.7.5,15,May,2013
2.7.4,6,April,2013
2.7.3,9,April,2012
2.7.2,11,June,2011
2.7.1,27,November,2010
2.7,4,July,2010
2.6.9,29,October,2013
2.6.8,10,April,2012
2.6.7,3,June,2011
2.6.6,24,August,2010
2.6.5,19,March,2010
2.6.4,25,October,2009
2.6.3,2,October,2009
2.6.2,14,April,2009
2.6.1,4,December,2008
2.6,1,October,2008
2.5.4,23,December,2008
2.5.3,19,December,2008
2.5.2,21,February,2008
2.5.1,18,April,2007
2.5,19,September,2006
2.4.4,18,October,2006
2.4.3,29,March,2006
2.4.2,28,September,2005
2.4.1,30,March,2005
2.4,30,November,2004
2.3.5,8,February,2005
2.3.4,27,May,2004
2.3.3,19,December,2003
2.3.2,3,October,2003
2.3.1,23,September,2003
2.3,29,July,2003
2.2.3,30,May,2003
2.2.2,14,October,2002
2.2.1,10,April,2002
2.2,21,December,2001
2.1.3,8,April,2002
2.1.2,16,January,2002
2.1.1,20,July,2001
2.1,15,April,2001
2.0.1,22,June,2001
2.0,16,October,2000
1.6,5,September,2000
1.5.2,30,April,1999
1.5.1,14,April,1998
1.5,17,February,1998
1.4,25,October,1996
1.3,13,October,1995
1.2,13,April,1995
1.1,11,October,1994
1.0.1,26,January,1994
0.9.1,-,February,1991
