#Application,2.0,2.2,2.3,2.4,2.4.3,2.5,2.6,2.7,2.7.2,3.0,3.1,3.2,3.3.0,3.5.0,3.6.0,Files
astropy,12.78,12.78,12.78,17.44,17.44,79.70,98.20,100.00,100.00,98.20,98.35,98.35,100.00,99.85,99.85,665
biopython,45.14,52.98,52.98,61.84,61.84,91.14,99.49,100.00,100.00,98.81,98.98,98.98,100.00,99.83,99.83,587
buildbot,38.29,37.88,37.88,50.69,50.69,84.16,99.86,100.00,100.00,81.96,81.96,81.96,100.00,99.86,99.86,726
calibre,27.43,28.44,28.44,40.38,40.38,69.01,75.65,99.87,99.87,73.64,74.98,74.98,87.26,87.26,86.45,1491
cherrypy,28.57,33.04,33.04,73.21,73.21,86.61,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,112
cinder,64.12,64.12,64.12,81.76,81.76,87.65,98.24,100.00,100.00,95.88,95.88,95.88,100.00,100.00,100.00,170
django,49.83,50.00,50.00,57.11,57.11,81.82,91.25,96.46,96.46,98.06,99.20,99.20,100.00,100.00,100.00,2376
emesene,78.82,79.29,79.29,90.06,90.06,96.69,99.76,99.76,99.76,89.35,89.35,89.35,90.65,89.23,89.23,845
EventGhost,44.95,45.49,45.49,65.52,65.52,90.07,99.64,100.00,100.00,74.55,74.73,74.73,83.94,83.75,81.41,554
exaile,47.25,47.99,47.99,67.40,67.40,83.52,98.53,100.00,100.00,94.87,94.87,94.87,99.63,99.63,99.63,273
globaleaks,29.94,30.51,30.51,48.02,48.02,80.79,93.22,99.44,99.44,63.28,63.28,63.28,96.61,96.61,96.61,177
gramps,22.16,22.88,22.88,26.45,26.45,90.88,97.59,97.86,97.86,99.20,99.37,99.37,100.00,100.00,100.00,1119
gtg,74.10,75.54,75.54,83.45,83.45,89.21,98.56,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,139
heat,53.66,54.50,54.50,67.47,67.47,80.19,96.40,100.00,100.00,90.28,90.28,90.28,100.00,100.00,100.00,833
ipython,48.40,49.27,49.27,57.14,57.14,74.34,83.38,89.80,89.80,79.59,80.47,80.47,100.00,100.00,100.00,343
kivy,54.63,55.58,55.58,66.98,66.98,91.45,97.39,100.00,100.00,96.20,96.20,96.20,100.00,100.00,100.00,421
magnum,59.09,59.34,59.34,80.05,80.05,86.62,96.46,100.00,100.00,96.72,97.22,97.22,100.00,100.00,100.00,396
mailman,43.73,44.02,44.02,50.44,50.44,60.64,99.71,99.71,99.71,90.38,92.71,92.71,93.29,93.29,93.29,343
manila,41.32,41.71,41.71,52.63,52.63,59.74,91.32,100.00,100.00,97.63,97.63,97.63,100.00,100.00,100.00,760
matplotlib,63.54,64.93,64.93,78.24,78.24,92.36,94.91,99.88,99.88,98.03,98.38,98.38,100.00,100.00,100.00,864
miro,61.92,63.08,63.08,85.98,85.98,98.83,100.00,100.00,100.00,53.50,53.50,53.50,76.64,76.64,76.64,428
networkx,32.92,34.99,34.99,64.80,64.80,80.12,82.40,100.00,100.00,99.59,99.59,99.59,100.00,100.00,100.00,483
neutron,50.74,50.96,50.96,64.00,64.00,79.52,89.37,100.00,100.00,94.40,98.80,98.80,100.00,100.00,100.00,1411
nova,68.48,68.48,68.48,85.33,85.33,94.02,100.00,100.00,100.00,97.83,97.83,97.83,100.00,100.00,100.00,184
numpy,38.95,40.61,40.61,57.46,57.46,89.23,97.24,100.00,100.00,98.62,98.62,98.62,99.72,99.72,99.72,362
pathomx,76.47,76.47,76.47,77.78,77.78,92.81,94.77,98.69,98.69,92.16,92.16,92.16,93.46,93.46,93.46,153
Pillow,41.61,44.16,44.16,47.08,47.08,86.50,96.72,100.00,100.00,99.64,99.64,99.64,100.00,100.00,100.00,274
pip,34.08,34.37,34.37,43.10,43.10,89.01,99.72,99.72,99.72,96.90,96.90,96.90,100.00,100.00,100.00,355
