#Application,Print Fctn,Set Lit,Set Comp,Dict Comp,With As,Files Using,Total Files
calibre,643,686,230,534,33,361,1491
neutron,4,103,91,70,471,150,1411
sage,475,35,6,439,2,149,2110
django,0,218,44,74,53,124,2376
sympy,460,377,39,49,1,116,1109
networkx,8,338,50,89,0,85,483
manila,7,96,7,57,0,66,760
trac,10,32,48,47,0,52,317
matplotlib,314,19,4,36,3,43,864
quodlibet,0,97,23,6,0,38,580
heat,0,29,4,21,0,30,833
Pyro4,137,95,7,10,2,25,197
ipython,1,34,4,8,15,22,343
magnum,1,5,0,10,2,14,396
pyobjc,23,157,0,6,0,13,1903
astropy,401,5,1,7,1,12,665
globaleaks,3,7,2,13,1,11,177
kivy,6,1,0,13,0,11,421
twisted,182,2,2,6,3,11,1120
numpy,360,38,4,5,0,10,362
tryton,0,7,3,7,0,10,121
Pillow,36,3,2,5,0,9,274
python-api,1,3,2,8,0,8,178
pathomx,0,1,0,6,0,6,153
exaile,13,2,3,0,0,4,273
biopython,211,5,0,0,1,3,587
cinder,10,1,1,1,0,3,170
gramps,3,0,0,1,2,3,1119
scikit-learn,70,0,0,5,0,3,681
EventGhost,77,0,0,2,0,2,554
gtg,0,1,1,0,0,2,139
buildbot,670,0,1,0,0,1,726
pyramid,0,0,0,1,0,1,460
scikit-image,28,0,0,3,0,1,450
Zope,0,0,0,0,1,1,312
cherrypy,2,0,0,0,0,0,112
emesene,0,0,0,0,0,0,845
mailman,158,0,0,0,0,0,343
miro,0,0,0,0,0,0,428
nova,3,0,0,0,0,0,184
pip,12,0,0,0,0,0,355
portage,47,0,0,0,0,0,637
pygame,1,0,0,0,0,0,267
sabnzbd,1,0,0,0,0,0,118
tg2,0,0,0,0,0,0,138
tornado,82,0,0,0,0,0,120
veusz,37,0,0,0,0,0,161
VisTrails,0,0,0,0,0,0,999
vpython-wx,14,0,0,0,0,0,206
web2py,38,0,0,0,0,0,399
wxPython,0,0,0,0,0,0,1514
