#Application,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
astropy,-,-,-,-,-,-,-,2.6 (100),2.6 (100),2.6 (100),2.6 (100),2.6 (100)
biopython,-,-,-,-,-,-,2.4 (100),2.4 (98),2.5 (100),2.6 (100),2.6 (100),2.6 (100)
buildbot,2.2 (100),2.2 (100),-,2.2 (98),2.2 (98),2.5 (98),2.4 (99),2.4 (99),2.5 (100),2.5 (100),2.5 (99),2.6 (100)
calibre,-,2.5 (100),2.5 (100),2.5 (99),2.5 (100),2.5 (99),2.5 (99),2.6 (98),2.7 (99),2.7 (100),2.7 (100),2.7 (100)
cherrypy,2.2 (100),2.2 (100),2.2 (100),2.2 (100),2.2 (99),2.2 (99),2.4 (100),2.2 (98),2.4 (98),2.5 (99),2.6 (100),2.6 (100)
cinder,-,-,-,-,-,-,-,2.5 (100),2.5 (98),2.6 (100),2.6 (100),2.6 (100)
django,2.2 (100),2.2 (100),2.2 (100),2.2 (100),2.4 (100),2.4 (100),2.4 (100),2.5 (100),2.6 (100),2.6 (99),2.7 (100),2.7 (100)
emesene,-,-,-,-,2.4 (100),2.4 (98),2.5 (98),2.5 (99),2.6 (100),-,-,-
EventGhost,-,-,-,-,-,-,-,-,-,-,-,-
exaile,-,2.0 (100),2.4 (100),2.5 (98),2.4 (100),2.5 (99),2.5 (98),2.6 (98),2.6 (99),2.6 (99),2.6 (99),2.6 (99)
globaleaks,-,-,-,-,-,-,-,2.4 (100),2.5 (100),-,2.7 (99),2.7 (100)
gramps,-,-,-,-,2.4 (99),2.5 (100),2.5 (99),2.5 (100),2.6 (100),2.6 (100),2.6 (100),2.6 (99)
gtg,-,-,-,2.0 (100),2.0 (100),2.5 (100),2.5 (100),2.5 (99),2.5 (99),2.5 (99),2.6 (98),-
heat,-,-,-,-,-,-,-,2.6 (100),2.6 (100),2.6 (100),2.6 (100),2.6 (99)
ipython,2.0 (98),2.2 (100),2.2 (100),2.4 (98),2.4 (98),2.5 (100),2.5 (100),2.6 (100),2.6 (100),2.6 (98),2.7 (100),2.7 (100)
kivy,-,-,-,-,-,2.5 (98),2.5 (99),2.5 (99),2.6 (99),2.6 (99),2.6 (98),2.6 (98)
magnum,-,-,-,-,-,-,-,-,-,-,2.6 (100),2.6 (98)
mailman,-,2.0 (98),2.4 (99),2.5 (99),2.5 (99),2.6 (100),2.6 (100),2.6 (100),-,-,-,-
manila,-,-,-,-,-,-,-,-,-,2.6 (100),2.6 (100),2.7 (100)
matplotlib,2.0 (98),2.0 (98),2.0 (98),2.4 (98),2.2 (98),2.4 (99),2.4 (100),2.6 (100),2.6 (100),2.6 (100),2.6 (100),2.6 (99)
miro,-,-,2.4 (100),2.4 (98),2.4 (100),2.4 (100),2.4 (98),2.5 (99),2.5 (99),2.5 (99),-,-
networkx,2.4 (98),-,-,-,2.4 (99),2.4 (99),2.5 (98),2.5 (98),2.5 (98),2.5 (98),2.6 (98),2.7 (100)
neutron,-,-,-,-,-,-,2.6 (100),2.6 (100),2.6 (100),2.6 (100),2.6 (100),2.7 (100)
nova,-,-,-,-,-,-,2.4 (100),2.5 (100),2.5 (99),2.6 (100),2.6 (100),2.6 (100)
numpy,-,-,2.0 (98),2.2 (99),2.4 (99),2.4 (100),2.4 (100),2.4 (99),2.4 (99),2.6 (100),2.6 (100),2.6 (100)
pathomx,-,-,-,-,-,-,-,-,2.7 (100),2.7 (100),2.7 (98),-
Pillow,-,-,-,-,-,-,2.0 (100),2.0 (100),2.0 (100),2.6 (100),2.6 (100),2.6 (100)
pip,-,-,-,2.4 (100),2.4 (100),2.4 (100),2.4 (100),2.4 (100),2.5 (100),2.6 (100),2.6 (99),2.6 (100)
