#Application,Print Fctn,Set Lit,Set Comp,Dict Comp,With As,Total Feat,Total Files
calibre,643,686,230,534,33,1483,1491
neutron,4,103,91,70,471,735,1411
sage,475,35,6,439,2,482,2110
networkx,8,338,50,89,0,477,483
sympy,460,377,39,49,1,466,1109
django,0,218,44,74,53,389,2376
pyobjc,23,157,0,6,0,163,1903
manila,7,96,7,57,0,160,760
trac,10,32,48,47,0,127,317
quodlibet,0,97,23,6,0,126,580
Pyro4,137,95,7,10,2,114,197
matplotlib,314,19,4,36,3,62,864
ipython,1,34,4,8,15,61,343
heat,0,29,4,21,0,54,833
numpy,360,38,4,5,0,47,362
globaleaks,3,7,2,13,1,23,177
magnum,1,5,0,10,2,17,396
tryton,0,7,3,7,0,17,121
astropy,401,5,1,7,1,14,665
kivy,6,1,0,13,0,14,421
python-api,1,3,2,8,0,13,178
twisted,182,2,2,6,3,13,1120
Pillow,36,3,2,5,0,10,274
pathomx,0,1,0,6,0,7,153
biopython,211,5,0,0,1,6,587
exaile,13,2,3,0,0,5,273
scikit-learn,70,0,0,5,0,5,681
cinder,10,1,1,1,0,3,170
gramps,3,0,0,1,2,3,1119
scikit-image,28,0,0,3,0,3,450
EventGhost,77,0,0,2,0,2,554
gtg,0,1,1,0,0,2,139
buildbot,670,0,1,0,0,1,726
pyramid,0,0,0,1,0,1,460
Zope,0,0,0,0,1,1,312
cherrypy,2,0,0,0,0,0,112
emesene,0,0,0,0,0,0,845
mailman,158,0,0,0,0,0,343
miro,0,0,0,0,0,0,428
nova,3,0,0,0,0,0,184
pip,12,0,0,0,0,0,355
portage,47,0,0,0,0,0,637
pygame,1,0,0,0,0,0,267
sabnzbd,1,0,0,0,0,0,118
tg2,0,0,0,0,0,0,138
tornado,82,0,0,0,0,0,120
veusz,37,0,0,0,0,0,161
VisTrails,0,0,0,0,0,0,999
vpython-wx,14,0,0,0,0,0,206
web2py,38,0,0,0,0,0,399
wxPython,0,0,0,0,0,0,1514
