#Application,URL,SHA
astropy,https://github.com/astropy/astropy,af6bdf6835bbdc8120e1f475689d2f19e0d8100b
biopython,https://github.com/biopython/biopython,cebfd7f9a1a3e0879a88f31398a01b7216ad343d
buildbot,https://github.com/buildbot/buildbot,b7f82dcc2751daddb320a25385aad0946efa1f45
calibre,https://github.com/kovidgoyal/calibre,c1920935d59282f15a03c3a4b21bbc821add004b
cherrypy,https://github.com/cherrypy/cherrypy,b040d7284be6c37e7aeeb6787ddd0c3f3e296411
cinder,https://github.com/openstack/python-cinderclient,a33240f578af528b01561bf1a5bdcfd632809ab8
django,https://github.com/django/django,4befb3015c26810a68cfcf57e0cd8b062f56f1c5
emesene,https://github.com/emesene/emesene,4548a4098310e21b16437bb36223a7f632a4f7bc
EventGhost,https://github.com/EventGhost/EventGhost,e72921c8aab16edb57ec2cc11150e905d9cabbb6
exaile,https://github.com/exaile/exaile,de72e46fb3317eaa435918945896ebd3921641e8
globaleaks,https://github.com/globaleaks/globaleaks/,1126f345e9d7a85180cf50b4623ffb4d066f78b2
gramps,https://github.com/gramps-project/gramps,a2dfd9013e48c24aecc02f6ee8c4e943c6fdea0e
gtg,https://github.com/getting-things-gnome/gtg,16ec3adeafe811a0ca7022636e667454fafb0852
heat,https://github.com/openstack/heat,e6a9225a2af2c03d5efb62009bb31858870520f4
ipython,https://github.com/ipython/ipython,0fc2a30eb582f431c96fb44e9e8691806b82234b
kivy,https://github.com/kivy/kivy,db29e5a4ed4de9e6db2d93ef7c7553d51b0de2c4
mailman,https://github.com/terencehonles/mailman,fe405ddae97cc792a343e3665b9ea645b9cf4539
manila,https://github.com/openstack/manila,a78db602640355688caa88a8608c5a473eafe2bb
matplotlib,https://github.com/matplotlib/matplotlib,f76f56489e7c07d919e2b5c4ba3e8377a946916f
miro,https://github.com/pculture/miro,0ae5ed3470754906a5aa892bfcbd99abcb832da0
networkx,https://github.com/networkx/networkx,add3c3a88a6744cd834aa16ce9cd60120e67adda
neutron,https://github.com/openstack/neutron,de4b5a2bba57cbd5294fb6f9527d64b8eeddf901
nova,https://github.com/openstack/python-novaclient,5c62630a9d5142c391eff1117dd86c6a25f20254
numpy,https://github.com/numpy/numpy,192355eb77883b1bd779f0a0bbad9e137de3193d
pathomx,https://github.com/pathomx/pathomx,9d54a578aacd2da376cf30d6b777f97c9069f63c
Pillow,https://github.com/python-pillow/Pillow,0c6f321266e6ed099cc4ec837892dcc49f2f143e
pip,https://github.com/pypa/pip,93820f5e37cf4d7934da7d4e826cc87b1ce35d07
portage,https://github.com/gentoo/portage,0331526698e485508a1040d24acca5f5eff1c3f3
pygame,https://github.com/pygame/pygamefullmirror,7ca9a892cf551590109aab97aceaf9705f36f197
pyobjc,https://github.com/GreatFruitOmsk/pyobjc,b400e2ebb9f219395c79e2dee7d4cdb1a9566ca2
pyramid,https://github.com/Pylons/pyramid,3687465ab87b82b83b7ffa2f216425136d71ebec
Pyro4,https://github.com/irmen/Pyro4,e3f1d0ae57eec366aec563eb9d924951d6d7119d
python-api,https://github.com/plotly/python-api,85140233c743779a0cc012be364877e96cdb033a
quodlibet,https://github.com/quod-libet/quodlibet,137853cad03390fdde68455b26f7518edb80da37
sabnzbd,https://github.com/sabnzbd/sabnzbd,c8f4b4665609d32f64ac357d66f3f0e54c681641
sage,https://github.com/sagemath/sage,96aac188ea19fdf840cb5e75b649c873a49aaefe
scikit-image,https://github.com/scikit-image/scikit-image,4982b00f0c1362417834f0d944615c90a8858e7c
scikit-learn,https://github.com/scikit-learn/scikit-learn,33b84302032d467f0cba44f461bb87f65b9c52d8
sympy,https://github.com/sympy/sympy,1e1acdf28bd3dc4b331afc704a1c9d56aef9de6a
tg2,https://github.com/TurboGears/tg2,a3114468425a8f854acb85415d91b21ae59f33f7
tornado,https://github.com/tornadoweb/tornado,be70cb085ba57297cbde219e206d05694f6ea7d9
trac,https://github.com/edgewall/trac,29cb0988ca9ce8cf0e69fc306a586e756f49b003
tryton,https://github.com/tryton/tryton,512f6262bf6c597215c5aecc8d85f6b9747b9024
twisted,https://github.com/twisted/twisted,7693b83ce9b17391927f2abd72404f3438ed0b69
veusz,https://github.com/jeremysanders/veusz,82a5ea2bb452c01c330f12d15fa1571805b691f5
VisTrails,https://github.com/VisTrails/VisTrails,94a5a5834c013fa9f89487d098470d486d7be4ae
vpython-wx,https://github.com/BruceSherwood/vpython-wx,d35706ef7363ffddf3d6e12af0c625940d173478
web2py,https://github.com/web2py/web2py/,4b4ada41377ee7e3a7291b381bbb7fb4ad1b6dff
wxPython,https://github.com/wxWidgets/wxPython,b2ab45003028e746ec35420af21364578599dbea
Zope,https://github.com/zopefoundation/Zope,85d2a5f1e6f46c40d32b832a4dca111074a9484b
