     astropy     11   4264  11459  17912  19759  19759  19759 19759
   biopython      2    857   1732   3236   4875   6888   7635 10960
    buildbot      6   2809   5642   8136  10913  13214  13761 14446
     calibre     42   2864   6638  11893  20185  29509  31566 33844
    cherrypy     98    611    933   1275   1446   1640   1858 3665
      cinder      6    432    759   1080   1122   1122   1122 1122
      django     55   3964  10497  16518  20056  24476  26035 35371
     emesene      0      0      1    104   2562   4155   4241 4286
  EventGhost     10    617    617    617    632    846   1314 1483
      exaile      3    461   1121   1232   1822   4178   4602 6879
  globaleaks      6   2839   5259   8986   9166   9166   9166 9166
      gramps     36   1978   4514   8304  11753  15563  16879 34215
         gtg      0      4    148    704   1670   4357   5001 5174
        heat     29   3824   8975  12870  13884  13884  13884 13884
     ipython     14   1393   7218  14548  19702  21044  21256 23049
        kivy     38   1583   4436   7596   9904  10482  10482 10482
      magnum      9   2155   3662   3662   3662   3662   3662 3662
     mailman      0      0      0      0    352    642    750 7503
      manila     19   1658   3281   3488   3488   3488   3488 3488
  matplotlib     90   4794   8678  11575  13876  15323  15973 20396
        miro      0      0      3    278   3931   7110   8238 15060
    networkx      5    760   2197   2832   3516   4269   4399 5131
     neutron     36   6797  14482  18645  19989  20009  20009 20009
        nova      1    674   1358   2145   2843   2862   2862 2862
       numpy     27   2318   4440   7379   9242  11271  12178 17608
     pathomx      0      0    446    718    718    718    718 718
      Pillow     62   1691   4010   5437   5503   5552   5552 5552
         pip      8    773   2260   3464   4117   4779   4921 4945
     portage      4    662   1359   2728   5883  10826  12358 23800
      pygame      2    329    518    915   1587   2311   3319 6524
      pyobjc      0      0    180    811   1067   1677   2141 5339
     pyramid     93   2513   3910   5662   8363  10880  11464 11832
       Pyro4      6    228    481    685    982   1203   1203 1203
  python-api      5   1001   2384   2420   2420   2420   2420 2420
   quodlibet     48   1489   2794   3976   4624   5077   5108 9277
     sabnzbd     21   1086   1654   2028   3111   4260   4929 6026
        sage     43  12900  30024  35373  38132  41887  43778 56481
scikit-image     36   1426   3703   6889   8717   9182   9182 9182
scikit-learn     15   2503   6426  12218  19843  22823  22823 22823
       sympy     78   3632   8106  15287  22440  24514  24849 26794
         tg2      0    108    249    493    787   1008   1352 1897
     tornado      0    370   1219   2039   2878   3302   3302 3302
        trac      5    875   2512   3656   4374   6376   6932 11738
      tryton     25    606   1314   2030   3050   3633   3988 5103
     twisted     58   5863   8953  14077  15169  16003  16284 31635
       veusz      0    167    486    943   1542   2002   2148 2971
   VisTrails      0    777   2881   5204   6461   7022   7183 8427
  vpython-wx      0     12    130    464    464    464    464 464
      web2py      3    824   1975   4648   7099   7099   7099 7099
    wxPython      0     16    422   2734   6314  10607  13983 68419
        Zope      4    284    413    578   1016   2514   2971 15085
